Transaction Date,Account Number,Transaction Type,Amount,Description
2023-04-25,ACCl007,Online Transfer,3708.0,utilities
2023-12-03,ACCl004,ATM Withdrawal,-3825.0,online purchase
2023-03-08,ACCl003,Deposit,-160.0,rent
2023-03-06,ACCl007,Online Transfer,4551.0,groceries
2023-06-07,ACCl003,Online Transfer,-4605.0,rent
2023-11-10,ACCl008,Online Transfer,1321.0,groceries
2023-08-02,ACCl009,Direct Debit,4793.0,groceries
2023-12-22,ACCl002,Card Payment,-2368.0,salary
2023-07-28,SUBTOTAL,,-59.0,
2023-08-06,ACCl004,Withdrawal,-268.0,transfer
2023-02-01,ACCl002,Online Transfer,3738.0,salary
2023-01-05,ACCl009,ATM Withdrawal,-2013.0,transfer
2023-08-05,ACCl008,Online Transfer,-3462.0,groceries
2023-09-13,ACCl00l,Card Payment,-1314.0,salary
2023-12-20,ACCl008,Direct Debit,-2137.0,groceries
2023-01-23,ACCl000,Online Transfer,-827.0,groceries
2023-01-27,ACCl007,Deposit,4830.0,utilities
2023-01-11,ACCl004,Online Transfer,2127.0,groceries
2023-12-08,ACCl000,Deposit,-139.0,groceries
2023-07-22,ACCl002,Card Payment,-155.0,online purchase
2023-05-02,ACCl007,Online Transfer,1120.0,online purchase
2023-05-28,SUBTOTAL,,-16045.0,
2023-05-04,ACCl006,Online Transfer,1187.0,transfer
2023-07-26,ACCl003,ATM Withdrawal,-4574.0,transfer
2023-08-26,ACCl006,Deposit,4976.0,rent
2023-11-20,ACCl003,Deposit,-238.0,transfer
2023-03-28,SUBTOTAL,,3283.0,
2023-06-13,ACCl009,ATM Withdrawal,-2681.0,online purchase
2023-07-14,ACCl008,Card Payment,-1280.0,online purchase
2023-02-23,ACCl005,Direct Debit,4825.0,utilities
2023-03-09,ACCl006,Online Transfer,-2991.0,rent
2023-05-11,ACCl004,Deposit,3617.0,online purchase
2023-01-01,ACCl009,Card Payment,122.0,transfer
2023-02-17,ACCl002,Online Transfer,-1962.0,online purchase
2023-11-24,ACCl006,Card Payment,4108.0,groceries
2023-05-13,ACCl006,Direct Debit,603.0,utilities
2023-09-18,ACCl009,Direct Debit,-547.0,salary
2023-12-04,ACCl000,Direct Debit,-307.0,salary
2023-02-10,ACCl000,Card Payment,-1319.0,rent
2023-09-14,ACCl008,Direct Debit,-3210.0,utilities
2023-12-28,ACCl005,Card Payment,-4186.0,online purchase
2023-05-04,ACCl00l,Direct Debit,-192.0,salary
2023-08-07,ACCl006,Card Payment,1114.0,rent
2023-10-10,ACCl00l,Withdrawal,-2174.0,salary
2023-08-10,ACCl009,ATM Withdrawal,-479.0,online purchase
2023-08-13,ACCl009,ATM Withdrawal,-1650.0,salary
2023-02-14,ACCl005,Card Payment,-1546.0,utilities
2023-02-23,ACCl003,Online Transfer,-3345.0,online purchase
2023-07-21,ACCl005,Online Transfer,-752.0,salary
2023-08-04,ACCl005,Withdrawal,-2820.0,rent
2023-04-15,ACCl009,Direct Debit,-2640.0,transfer
2023-08-28,ACCl003,ATM Withdrawal,-1930.0,transfer
2023-09-18,ACCl00l,Deposit,-694.0,online purchase
2023-10-11,ACCl004,Online Transfer,1638.0,groceries
2023-03-26,ACCl000,ATM Withdrawal,-1111.0,groceries
2023-05-08,ACCl006,Online Transfer,-2963.0,salary
2023-03-09,ACCl002,Online Transfer,-3935.0,rent
2023-12-31,YEARLY TOTAL,,-62124.0,
2023-02-18,ACCl006,Direct Debit,1208.0,salary
2023-02-17,ACCl000,Withdrawal,-4752.0,online purchase
2023-02-28,ACCl003,Withdrawal,-1595.0,transfer
2023-08-12,ACCl00l,Direct Debit,-4092.0,salary
2023-07-02,ACCl00l,Deposit,-1553.0,online purchase
2023-05-10,ACCl000,Withdrawal,-1986.0,online purchase
2023-04-25,ACCl00l,Card Payment,2897.0,salary
2023-06-14,ACCl006,Deposit,-1339.0,groceries
